96.0,514.0,273.7677216848,1300.0,0.0068448775,11.11,0.15,4
96.0,515.0,79.7312240602,2800.0,0.001328588,16.67,0.15,4
96.0,388.0,78.9882637821,7000.0,0.000987452,22.22,0.15,4
97.0,98.0,62.1995383508,5250.0,0.000777572,22.22,0.15,4
97.0,99.0,84.5887158233,1300.0,0.0021149294,11.11,0.15,4
97.0,515.0,211.7275826016,2800.0,0.0035280874,16.67,0.15,4
98.0,238.0,273.1722677947,1300.0,0.0068299897,11.11,0.15,4
98.0,242.0,79.6277318599,5250.0,0.0009954462,22.22,0.15,4
99.0,100.0,197.2400938501,1300.0,0.0049314955,11.11,0.15,4
99.0,101.0,80.1858845791,1300.0,0.0020048476,11.11,0.15,4
99.0,242.0,78.3590021444,1300.0,0.001959171,11.11,0.15,4
100.0,383.0,79.9078234644,5250.0,0.0009989477,22.22,0.15,4
100.0,384.0,273.2434036069,1300.0,0.0068317683,11.11,0.15,4
100.0,515.0,79.8405531832,7000.0,0.0009981067,22.22,0.15,4
101.0,102.0,81.6251854617,2800.0,0.0013601477,16.67,0.15,4
101.0,103.0,79.0286011493,2800.0,0.00131688,16.67,0.15,4
101.0,383.0,193.0201780042,2800.0,0.0032163597,16.67,0.15,4
102.0,241.0,272.5147720765,2800.0,0.0045410047,16.67,0.15,4
102.0,242.0,80.0309707775,5250.0,0.0010004872,22.22,0.15,4
102.0,246.0,78.8029612822,5250.0,0.0009851355,22.22,0.15,4
103.0,104.0,189.8400510097,1300.0,0.0047464759,11.11,0.15,4
103.0,105.0,116.4497127271,2800.0,0.0019404405,16.67,0.15,4
103.0,246.0,83.9465689816,2800.0,0.0013988297,16.67,0.15,4
104.0,516.0,273.817723417,1300.0,0.0068461277,11.11,0.15,4
104.0,517.0,80.8963322066,8750.0,0.0010113053,22.22,0.15,4
104.0,383.0,78.9397409922,7000.0,0.0009868454,22.22,0.15,4
105.0,644.0,116.7567049392,2800.0,0.001945556,16.67,0.15,4
105.0,106.0,219.3504400977,2800.0,0.0036551096,16.67,0.15,4
105.0,107.0,123.6112756302,2800.0,0.002059776,16.67,0.15,4
105.0,249.0,138.5379217074,2800.0,0.0023085037,16.67,0.15,4
105.0,517.0,222.6865725059,1300.0,0.0055677211,11.11,0.15,4
106.0,518.0,81.3895057561,8750.0,0.0010174706,22.22,0.15,4
106.0,519.0,273.7727837909,2800.0,0.0045619673,16.67,0.15,4
106.0,517.0,77.1260880882,8750.0,0.0009641725,22.22,0.15,4
107.0,108.0,104.8601072849,2800.0,0.001747319,16.67,0.15,4
107.0,109.0,83.7974851821,2800.0,0.0013963455,16.67,0.15,4
107.0,518.0,168.9004185741,2800.0,0.0028144441,16.67,0.15,4
108.0,250.0,272.5476694063,2800.0,0.0045415528,16.67,0.15,4
108.0,249.0,80.3219340545,7000.0,0.0010041246,22.22,0.15,4
108.0,253.0,80.043049928,5250.0,0.0010006382,22.22,0.15,4
109.0,110.0,150.6490955186,1300.0,0.003766604,11.11,0.15,4
109.0,111.0,88.1662659831,2800.0,0.0014691439,16.67,0.15,4
109.0,253.0,124.2473386067,1300.0,0.0031064941,11.11,0.15,4
110.0,353.0,75.7479253505,8750.0,0.0009469438,22.22,0.15,4
110.0,355.0,274.2490732698,1300.0,0.0068569125,11.11,0.15,4
110.0,518.0,80.6945568409,8750.0,0.0010087828,22.22,0.15,4
111.0,352.0,150.3748509816,2800.0,0.0025057464,16.67,0.15,4
111.0,112.0,83.6178043057,2800.0,0.0013933514,16.67,0.15,4
111.0,353.0,139.2336253514,2800.0,0.0023200964,16.67,0.15,4
112.0,113.0,178.8571012621,1300.0,0.0044718747,11.11,0.15,4
112.0,114.0,94.5092413685,1300.0,0.0023629673,11.11,0.15,4
113.0,255.0,273.7210699274,1300.0,0.0068437111,11.11,0.15,4
113.0,352.0,86.5254342977,5250.0,0.0010816761,22.22,0.15,4
114.0,520.0,274.3043309199,7000.0,0.0034291471,22.22,0.15,4
114.0,353.0,87.076157673,8750.0,0.0010885608,22.22,0.15,4
115.0,116.0,99.1020605162,7000.0,0.0012388996,22.22,0.15,4
115.0,368.0,134.1861979001,5250.0,0.0016774952,22.22,0.15,4
115.0,119.0,143.2333121688,2800.0,0.0023867445,16.67,0.15,4
116.0,790.0,89.3192678782,2800.0,0.0014883568,16.67,0.15,4
116.0,667.0,148.290735189,1300.0,0.0037076391,11.11,0.15,4
117.0,118.0,115.8757912296,1300.0,0.0028971845,11.11,0.15,4
117.0,119.0,90.2564209115,2800.0,0.0015039729,16.67,0.15,4
117.0,120.0,81.293923495,2800.0,0.0013546278,16.67,0.15,4
118.0,324.0,83.1888791927,2800.0,0.0013862041,16.67,0.15,4
118.0,326.0,245.5484534919,1300.0,0.0061393253,11.11,0.15,4
